rank,grade,usernme,uploads,subscribers,top_views
120,A ,Atta Halilintar,814,22.6M,2319850217
121,A ,LosPolinesios,537,22.6M,5040523903
122,A- ,OneDirectionVEVO,171,22.6M,9345895963
123,A ,AuronPlay,409,22.5M,2942580946
124,A ,Infobells - Hindi,333,22.5M,11119566507
125,A ,WatchMojo.com,18066,22.4M,13437186232
126,A+ ,""">Super Simple Songs - Kids Songs",501,22.3M,20010642813
127,A ,T-Series Apna Punjab,4751,22.3M,11472699439
128,A ,Ultra Bollywood,10400,22.3M,12026686725
129,A ,SMTOWN,3532,22.2M,16316756674
130,B- ,ImagineDragons,51,21.9M,20745163
131,A ,Galinha Pintadinha,51,21.8M,15100947333
132,A ,Venus,4226,21.8M,8045704218
133,A ,David Guetta,532,21.5M,12518490238
134,A+ ,TC,417,21.5M,15376676191
135,A ,Gaane Sune Ansune,2515,21.5M,9843820857
136,A ,Logan Paul,704,21.4M,5253332288
137,B+ ,nigahiga,409,21.4M,4242252872
138,A ,Collins Key,241,21.3M,4738230752
139,A- ,KSI,1215,21.3M,5227746691
140,B- ,Adele,13,21.3M,177795305
141,A ,Wiz Khalifa,496,21.3M,9803130036
142,A ,La Granja de Zenón,285,20.9M,11414977407
143,D- ,Drake,52,20.8M,449827465
144,B ,Nicki Minaj,23,20.7M,117235211
145,A+ ,shfa,515,20.7M,8915390863
146,A ,Lucas and Marcus,591,20.6M,5138675877
147,A- ,NickyJamTV,248,20.5M,12952646912
148,A ,1MILLION Dance Studio,1962,20.5M,5095288622
149,B ,""">Beyoncé",223,20.4M,866463797
150,A ,Geet MP3,333,20.4M,5758477362
151,B ,The Chainsmokers,208,20.4M,828541024
152,A- ,Ricis Official,885,20.3M,2687438963
153,A- ,Rajshri,5587,20.3M,10385874510
154,B+ ,JennaMarbles,497,20.2M,3573245096
155,B ,FBE,2183,20.1M,8489625514
156,D- ,BuzzFeedVideo,6721,20.1M,16692238093
157,A ,Mr Bean,1836,20.1M,6566659775
158,A- ,Jake Paul,861,20M,6574464694
159,B+ ,CanalCanalha,232,19.7M,1502927239
160,A ,Las Ratitas,171,19.6M,6547967456
161,A ,SSSniperWolf,2310,19.5M,5873920423
162,A ,IndiaTV,163400,19.5M,6847297115
163,A ,Like Nastya ESP,281,19.4M,6705323165
