rank,grade,name,posts/media,followers,following
131,A ,Nusr_et#Saltbae,1835,27393684,257
132,A ,Nancy Ajram,3581,27239752,54
133,A ,BMW,6880,27113147,44
134,A ,Vogue,7215,26947503,405
135,A ,Mercedes-Benz,14694,26832382,792
136,A ,Hailey Baldwin Bieber,1819,26817309,951
137,A ,Sabrina Sato ?+,8120,26791655,7492
138,A ,BAD | BUNNY,976,26535892,1
139,A ,Lamborghini,1891,26467002,426
140,A ,Luna Maya,3380,26416242,1667
141,A ,Paolla Oliveira,3332,26395163,1227
142,A ,Amanda ?????,2030,26269102,493
143,A ,Emily Ratajkowski,2047,26239476,719
144,A ,Marvel Studios,1339,25973264,67
145,A ,URVASHI RAUTELA ??Actor??,2398,25890598,92
146,A ,Kevinho ?,3179,25742594,748
147,A ,adidas (at ?),770,25730660,188
148,A ,Liverpool Football Club,11658,25703614,182
149,A ,50 Cent,3654,25613585,234
150,A ,simoneses,4062,25385339,1100
151,A ,Ciara,4107,25323727,98
152,A ,Natasha Wilona,830,25295808,543
153,A ,Juliana Paes Actress Brazil,2880,25295743,2558
154,A ,Eliana Michaelichen,4070,25236690,3064
155,A ,TikTok,560,25056093,604
156,A ,Sommer Ray,1085,24961770,486
157,A ,Becky G,8085,24881630,1552
158,A ,YouTube,2090,24757881,1346
159,A ,PlayStation,1513,24566933,59
160,A ,Disney,5182,24565855,94
161,A ,Juanpa Zurita,1379,24532176,1118
162,A ,Kylie Cosmetics,6615,24040445,547
163,A ,NATTI NATASHA,2889,24025044,555
164,A ,Dolce&Gabbana,10289,23982814,1
165,A ,Ruben Onsu,10309,23749795,849
166,A ,M.A.C Cosmetics,7970,23664295,1070
167,A ,Danna Paola,1456,23574138,966
168,A ,Niall Horan,1285,23532813,801
169,A ,Scott Disick,1157,23498863,51
170,A ,Prada,5643,23465722,6
171,A ,raisa6690,3675,23455724,1447
172,A ,apple,648,23424939,6
173,A ,Lili Reinhart,821,23393770,819
174,A ,Floyd Mayweather,1048,23324326,241
175,A ,Fortnite,859,23220692,8
176,A ,Zach King,917,23188257,134
177,A ,camila mendes,289,23080231,544
178,A ,BLΛƆKPIИK ,801,23076861,4
179,A ,Via Vallen,2335,23069876,311
180,A ,Chelsea Olivia Wijaya,2944,22695005,723
181,A ,Reese Witherspoon,2931,22663992,875
182,A ,BELLA,5221,22648369,2884
183,A ,WorldStar Hip Hop / WSHH,82011,22642137,1744
184,A ,Zaskia Shinta,2762,22509024,595
185,A ,Ashanty,8375,22483387,697
186,A ,Sebastian Yatra,5396,22436793,837
187,A ,The Weeknd,131,22408085,3
188,A ,Netflix US,2579,22384417,855
189,A ,Philippe Coutinho,540,22323600,996
190,A ,Jessica Iskandar,3209,22248816,257
191,A ,F e r n a n d a   S o u z a,5720,22236146,1448
192,A ,“REAL HASTA LA MUERTE”,1949,22156342,73
193,A ,Giovanna Ewbank,6029,22031095,1443
194,A ,Mesut Ozil,1343,21936184,240
195,A ,Chelsea FC,8823,21818037,98
196,A ,Versace,5712,21764425,219
197,A ,Sachin Tendulkar,703,21763969,19
198,A ,AGNEZ MO,2914,21663891,2077
199,A ,Cameron Dallas,2166,21596620,1052
200,A ,isis valverde,8869,21539716,947
201,A ,Ester Expósito,279,21504583,472
202,A ,Ludmilla,4395,21384865,465
203,A ,Ashley Benson,2236,21113590,708
204,A ,WWE,25627,21107475,293
205,A ,FC Bayern München,11543,21106745,52
206,A ,Porsche,2150,21037548,437
207,A ,Claudia Leitte,5082,20972792,2626
208,A ,CALVIN KLEIN,5647,20939601,380
209,A ,Simaria Mendes,2547,20870353,2544
